,answers,district,month,query-type,questions,state
463,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],AJMER,7,	Plant Protection	,control lahsoda me of pest tell,RAJASTHAN
464,['USE-MANUARE AND FERTILIZER.'],BARMER,1,Fertilizer Use and Availability,affacted growth me plant pomegranate tell,RAJASTHAN
465,"['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'USE CHLOROPYRIFOS 20% EC 40 ML PER PALNT WITH IRRIGATION']",ALWAR,3,	Plant Protection	,about control guava in me tell termite,RAJASTHAN
466,['recommended Arize 6444 paddy variety'],SAGAR,6,Varieties,about farmer high information name paddy to variety want yielding,MADHYA PRADESH
467,['Recommended for spray of Flonicamid 50 % WG (ULALA) 60 gram per acer for control of white fly attack in chilli crop.'],SAGAR,3,	Plant Protection	,attack chilli control crop farmer fly in information measures need of regarding white,MADHYA PRADESH
468,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,4,	Plant Protection	,bottel control droping flower gourd in me of tell,RAJASTHAN
469,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],ALWAR,9,	Plant Protection	,black control in jeera me root rot tell,RAJASTHAN
470,['Manures and fertilizers:\r\n\r\nThe plant requires about 15t/ha of FYM which is to be applied as basal dose at the time of land preparation. Regarding the inorganic fertilizers application of 120:60:60 kg/ha of NPK is recommended.'],SAGAR,2,Fertilizer Use and Availability,and crop fertilizers in manures tulsi,MADHYA PRADESH
471,['spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water'],JABALPUR,1,	Plant Protection	,about attack control crop farmer fungal how in information know of pea to to want,MADHYA PRADESH
472,"['DRENCHING OF CARBENDAZIM 2 GM PER LITER', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER']",ALWAR,8,	Plant Protection	,control disease fungal in me of tell tomato,RAJASTHAN
473,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],ALWAR,6,	Plant Protection	,control in larva me of tell tinda,RAJASTHAN
474,['MUSHROOM CULTIVATION TRAINING INSTITUTE  - 020-25537033'],RAIGARH,2,Government Schemes,about asked cultivation institute mushroom training,MAHARASHTRA
475,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],AJMER,8,	Plant Protection	,aphid control in me moong tell x,RAJASTHAN
476,['Spray abhamectin benjoate (abhasin) 10 to 15 ml at per pump or Propargite 57% EC (omite) 60 ml at per pump.'],JABALPUR,5,	Plant Protection	,bhindi control how in plant red spider to,MADHYA PRADESH
477,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",ALWAR,3,	Plant Protection	,bringle control in insect me tell,RAJASTHAN
478,['Apply Multi-K(19-19-19)-7.5gm per litre of water'],BALASORE,4,Nutrient Management,better greengram growth moong of,ODISHA
479,"['Prfinofos 50 EC@ 1500 ml Spray per ha.', 'Indoxacarb 14.5 % SC @ 10-12ml /pump', 'recommended for to control defoliators Spray triazophos 40 EC @ 2 ml/lit. at the crop age of 30-35 days.']",SAGAR,4,	Plant Protection	,about brinjal control defoliators farmer how in information know to to want,MADHYA PRADESH
480,"['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION', 'SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER']",ALWAR,3,	Plant Protection	,about bhindi control disease in me tell,RAJASTHAN
481,['NAGAUR  JEERA (CUMIN) 17000'],BARMER,3,Weather,cumin in jodhpur me rate tell,RAJASTHAN
482,['SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER'],ALWAR,7,	Plant Protection	,brinjal control crop in insect me tell,RAJASTHAN
483,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,4,	Plant Protection	,chilli control curl in leaf me tell,RAJASTHAN
484,"['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER']",BARMER,9,	Plant Protection	,brinjal in me tell thrips,RAJASTHAN
485,"['VARIETY OF RIDGE GOURD ----PUSA NASADAR,CO-1,CO-2,GREEN GOLD ,SAATPATRI.', 'VARIETY OF RIDGE GOURD--PUSA NASADAR,SAATAPATRI,LATA,GREENGOLD', 'VARIETY OF RIDGE GOURD---PUSA NASADAR,CO-1, CO-2,SAATAPATRI', 'VARIETY OF RIDGE GOURD---PUSA NASADAR,CO-1,C0-2,SAATAPATRI']",BALASORE,4,Cultural Practices,gourd of ridge variety,ODISHA
486,['SPRAY OF PENDIMETHILIN 30% EC 2.5-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION'],ALWAR,5,Weed Management,control cotton in me of sowing tell time weed,RAJASTHAN
487,['PLEASE CONTACT TO NABARD BANK = Dr. Rajender Singh- Phone No. : 0141-2740821'],BARMER,9,Credit,about animalas credit dairy facilities me milch on tell,RAJASTHAN
488,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],DAMOH,1,	Plant Protection	,about attack control crop farmer fungal how in know to to want wheat,MADHYA PRADESH
489,['spray of fentic plus(amino acid + folic acid ) 8-10ml/pump'],BALASORE,2,Cultural Practices,about and crop farmer flowering fruiting improvement in know to tomato want,ODISHA
490,['60% SUBSIDY IN RAINGAIN'],BARMER,8,Weather,in me raingain subsidy tell,RAJASTHAN
491,['SPRAY OF GLYPHOSATE 2.5 GM PER LITER WATER FOR CONTROL OF DOOB GRASS IN CROP FREE FIELD'],ALWAR,8,Weed Management,control field in me of tell weed,RAJASTHAN
492,['RECOMMENDED TO SPRAY THIOMETHOXAM 5GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN BINDI'],CUTTACK,3,	Plant Protection	,bindi flies in white,ODISHA
493,"['+(91)-733-2225604\r\n02, Main Road, Khandwa - 450001, Main Market Khandwa']",SAGAR,6,Government Schemes,about farmer information khndawa know kvk number of phone to wants,MADHYA PRADESH
494,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,2,Fertilizer Use and Availability,ashok black control me on plant spot tell,RAJASTHAN
495,"['CONTACT TO NEATEST BANK BRANCH', 'CONTACT TO NEAREST BANK BRANCH']",BARMER,9,Animal Breeding,about animal me of subisdy tell,RAJASTHAN
496,['Apply NomineeGold or FuziSuper-80ml mixed with 20kg sand per Acre'],DHENKANAL,7,Weed Management,after beushaning control in paddy weed,ODISHA
497,"['Recommended for to store wheat maintain moisture 10-12 % & apply \r\nEDB ampule @ 1 injection / quintal', 'maintain moisture 10-12 % & apply EDB ampule @ 1 / quintal.', 'recommended for to store wheat maintain moisture 10-12 % & apply EDB ampule @ 1 / quintal.', 'Recommended for to store wheat maintain moisture 10-12 % & apply \r\nEDB ampule @ 1 injection / quintal. ??-']",SAGAR,3,	Plant Protection	,about farmer how information know store to to want wheat,MADHYA PRADESH
498,['10 KILO URIYA /PAR BIGHA'],ALWAR,7,Weather,cotton dose fertilizer in me tell,RAJASTHAN
499,"['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.', 'Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.']",SAGAR,8,	Plant Protection	,brinjal control crop fly how in to white,MADHYA PRADESH
500,['CONTACT NEAR BANK'],BANSWARA,8,Disease Reporting,about animal insurance me tell,RAJASTHAN
501,"['Latest Market Prices Available Sagar, Madhya Pradesh (11/04/2017)Banda\tBengal Gram(Gram)\t1.3\tTonnes\tNR\tOther\tFAQ\t5100\t5300\t5200\tRs/Quintal', 'Damoh, Madhya Pradesh (06/04/2017)\r\n Javera\tBengal Gram(Gram)\t17.1\tTonnes\tNR\tDesi (Whole)\tFAQ\t5200\t5500\t5400\tRs/Quintal']",SAGAR,4,Market Information,about about bengal crop farmer gram information know market rate to wants,MADHYA PRADESH
502,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,9,	Plant Protection	,coriander in me plant protection tell,RAJASTHAN
503,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],AJMER,8,	Plant Protection	,control insect me of spinach tell,RAJASTHAN
504,"['Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.', 'Recommended for Spray N: P: K 0:52:34 100 grams and humic acid 30 ml at 15 liter of water.', 'Recommended for increasing growth in soybean Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.']",SAGAR,7,Fertilizer Use and Availability,and better crop fertilizer for give growth in nutrient soybean which,MADHYA PRADESH
505,"['CONTACT NO.KRISHI PANT BHAVAN- 0141-5116242', 'contact no.krishi pant bhavan- 0141-5116242', 'CONTACT NO KRISHI PANT BHAVAN- 0141-5116242', '??? ???? ??? ?? ??? ??- 0141-5116242  ????']",AJMER,9,Market Information,bhavan contact krishi me no pant tell,RAJASTHAN
506,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,1,	Plant Protection	,anola control dropping flower in me of tell,RAJASTHAN
507,['Recommended for amino acid + folic acid fentek plas (10ml) + Liquid sulphar 40 ml per pump for increase flowering in moong crop.'],DAMOH,5,Nutrient Management,crop farmer flowering how in increase information moong need regarding to,MADHYA PRADESH
508,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,blight control crop gram in me tell,RAJASTHAN
509,['soil testing lab thane contact no-022-25823389'],THANE,2,Soil Testing	,contact lab no soil testing thane,MAHARASHTRA
510,['Spray recommended dose of Profenofos 40% + Cypermethrin 4% EC 1000 Ml/hac.'],DAMOH,8,	Plant Protection	,can control farmer how in information needs pest regarding root urd we,MADHYA PRADESH
511,['Recommended for N: P: K 0:52:34 1 kg at per Acer'],SAGAR,4,Fertilizer Use and Availability,and capsicm crop how in increase production size to,MADHYA PRADESH
512,['SPRAY SOLUBLE NPK  18:18:18 GRADE 8 GM/LTR WATER'],ALWAR,5,Fertilizer Use and Availability,affacted brinjal growth me tell,RAJASTHAN
513,"['VARITIES OF LEMON-PARMALINI,BARAHAMASI']",ALWAR,5,Seeds and Planting Material,lemon me of tell varities,RAJASTHAN
514,['No chance of rainfall for next five days.'],DAMOH,1,Weather,about farmer forcast information know to want wethar,MADHYA PRADESH
515,['SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,control crop in me moong podfly tell,RAJASTHAN
516,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,6,	Plant Protection	,chillis control fly in me of tell white,RAJASTHAN
517,['CONTECT FOR 0141-5116242'],BARMER,4,Cultural Practices,bater contect farm me number tell,RAJASTHAN
518,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],ALWAR,9,	Plant Protection	,arhar control cut in me tell worm,RAJASTHAN
519,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,6,	Plant Protection	,bottle control gard in me of root rot tell,RAJASTHAN
520,['SPRAY OF MICRONUTRIENT 4 GM PER LITER WATER'],ALWAR,8,	Plant Protection	,brinjal in me micronutrient of spray tell,RAJASTHAN
521,['Recommended for control of fungal attack spray copper oxychloride 30-40gm/pump and streptocyclin 2 gram at 15 liter of water'],SAGAR,4,	Plant Protection	,control crop disease farmer fungal in information measure moong needs of regarding,MADHYA PRADESH
522,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],ALWAR,1,	Plant Protection	,borer control fruit in me tell tometo,RAJASTHAN
523,"['KARBANDZIM 2 GRAM/PAR LITER WATER SPREY', '400 GRAM KARBANDAZIM /PAR BIGHA']",AJMER,7,Weather,cotton in me problem root tell,RAJASTHAN
524,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],AJMER,8,	Plant Protection	,control disease fungal in me moong of tell,RAJASTHAN
525,['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER'],ALWAR,1,Fertilizer Use and Availability,growth in me tel wheat,RAJASTHAN
526,"['Crop name wheat - Minimum Price(Rs-1400/Quintal) ,  Maximum Price(Rs-1500 /Quintal)-, Modal Price (Rs -1450  /Quintal']",SAGAR,4,Market Information,about farmer in information know market of rate sagar to want wheat,MADHYA PRADESH
527,['RECOMMENDED TO SPRAY SAAF 2 GM/ LIT WATER FOR CONTROL OF ROOT ROT DISEASES IN CAULIFLOWER'],CUTTACK,9,	Plant Protection	,cauliflower diseases in root rot,ODISHA
528,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,3,	Plant Protection	,control in me milen sundi tell water,RAJASTHAN
529,"['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', '']",AJMER,8,Nutrient Management,control drop flower in me tell,RAJASTHAN
530,['Spray- Imidachloropid-1ml(Tatamida/Confider) in 3-litres of water'],CUTTACK,3,	Plant Protection	,and curl karela leaf yellowing,ODISHA
531,['USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION'],BARMER,9,	Plant Protection	,about control disease groundnut in me root rot tell,RAJASTHAN
532,"['VARITIES OF COTTON-RST-9,BIKANERA NARMA', 'VARITIES OF COTTON-BIKANERA NARMA,RST-9', 'VARITIES OF cotton-mrch-6304,mrch-6025', 'VARITIES OF COTTON-MRCH-6304.MRCH-6025', 'VARITIES OF COTTON-BIKANERA NARMA', 'VARITIES OF COTTON-MRCH-6304,MRCH6025', 'VARIETY OF BT COTTON = MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028', 'BIKANERA NARMA,RST-9', 'VARITIES OF COTTON-MRCH-6304,MRCH-6025', 'VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488', 'VARITIES OF COTTON-BIKANERA NARMA,GANGANAGAR AGETI']",ALWAR,3,Seeds,cotton me of tell varities,RAJASTHAN
533,"['MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73']",ALWAR,9,Varieties,73 me mustard of tell variety,RAJASTHAN
534,['foliar spray for watermelon- spray calsibor 40 ml / 15 litter of water'],RATNAGIRI,1,Nutrient Management,foliar for spray watermelon,MAHARASHTRA
535,"['Spray emamectin benjoate 10 gram at 15 liter of water or corajan or fem 5-6 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.', 'Recommended for  to control caterpillars in bengal gram crop Spray emamectin benzoate 8- 10 gram or corajan, fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water.', 'Spray emamectin benjoate  8-10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.']",SAGAR,2,	Plant Protection	,about bengal caterpillars control crop farmer gram how in information know to to wants,MADHYA PRADESH
536,['to know information about  agriculture sechme please  contact to your department of agriculture or please contact rural agriculture extension officer ...'],JABALPUR,1,Government Schemes,about agriculture farmer information know sechme to wants,MADHYA PRADESH
537,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,3,	Plant Protection	,control curl in leaf me of pomegranate tell,RAJASTHAN
538,"['NRC-109,NRC-110,NRC-7,NRC-37,PK-7244,PK-1024,Ankur,Gaurav,JS-9305,9560,335']",SAGAR,5,Seeds,about farmer information know of soybean to variety want,MADHYA PRADESH
539,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,bhindi borer control in me of pod tell,RAJASTHAN
540,"['Paddy-Urea-40kg,DAP-60kg,MOP-25kg,Zinc Sulphate-10kg/acre']",DAMOH,7,Weed Management,about doses farmer fertilizer information know to want,MADHYA PRADESH
541,['RECOMMENDED TO SPRAY MANCOZEB 2GM/ LIT WATER FOR CONTROL OF LEAF BURN DISEASES IN ONION'],BALANGIR,3,	Plant Protection	,burn diseases in leaf onion,ODISHA
542,['PLEASE CONTACT TO NEAR BANK FOR DAIRY LONE'],ALWAR,9,Credit,about ask dairy for lone me tell,RAJASTHAN
543,['Dear Farmer Can Apply Carbofuran 3 g 10-12 Kg/Acre broadcast with 8-10 kg of sand for soil application or'],JABALPUR,8,	Plant Protection	,borer control crop farmer in information measures monocios needs of regarding stem,MADHYA PRADESH
544,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],BARMER,3,	Plant Protection	,in moyla rizka tellme,RAJASTHAN
545,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",ALWAR,8,	Plant Protection	,control cotton in me of tell whitefly,RAJASTHAN
546,['dentasu @  3 gram  /15  gram  .pamp spray on crop .'],THANE,3,Bio-Pesticides and Bio-Fertilizers,pest,MAHARASHTRA
547,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,chillies control disease in me of tell,RAJASTHAN
548,"['SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION', 'SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER']",ALWAR,2,	Plant Protection	,control garlic in insect me tell,RAJASTHAN
549,"['Recommended for Spray emamectin benjoate 10 gram at 15 liter of water for control of caterpillars in tomato crop.', 'Recommended for Spray indoxa carb 10 ml at 15 liter of water.']",SAGAR,9,	Plant Protection	,caterpillars control crop how in to tobacco tomato,MADHYA PRADESH
550,"['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', 'SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER \r\nSPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'SPRAY OF PLANOFIX 1 ML PER 16 LITER WATER', 'SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER \r\nSPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER']",ALWAR,8,Nutrient Management,control dropping flower me of tell,RAJASTHAN
551,['to know about govt.schemes please contect rural agriculture extension officer ...'],DAMOH,7,Government Schemes,govt how know schemes to,MADHYA PRADESH
552,"['VERITES IN MOONG CROP PUSS BESAKI K-851', 'VERITES IN MOONG CROP K-851 PUSA BESAKI']",ALWAR,3,Seeds,crop in me moong tell verites,RAJASTHAN
553,['RECOMMENDED TO SPRAY POLYFEED (19-19-19) @ 7 GRAM / 1 LIT OF WATER'],CUTTACK,9,	Plant Protection	,chrysanthemum growth of slow,ODISHA
554,"['VARIETY OF PALAK-ALL GREEN ,PUSA JYOTI ,PUSA HARIT ,PUSA BHARATI', 'VARIETY OF PALAK- ALL GREEN ,PUSA JYOTI ,PUSA HARIT,PUSA BHARTI']",BARMER,9,Varieties,me of palak tell variety,RAJASTHAN
555,"['Recommended for spray  Tricoderma  viride 2.5 kg/ha mix in 50 kg FYM/acre , sprinkered with water & cover with polythein & apply after 2 days when proper moisture in field.']",JABALPUR,2,	Plant Protection	,control crop farmer fungal gram how in infection know to to want,MADHYA PRADESH
556,['SPRAY METAL AXYL + MANCOZEB (TATA MASTER) @ 3GM/1LIT WATER FOR FRUIT ROT IN PAPAYA'],BALANGIR,2,	Plant Protection	,fruit in papaya rot,ODISHA
557,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,about black control in me pumpkin root tell,RAJASTHAN
558,['Recommended for spray abamectin 5 ml at per pump or Propargite 57% EC ('],DAMOH,7,	Plant Protection	,about control farmer gourd in know measures of plant red spider sponge to wants,MADHYA PRADESH
559,"['Recommended for to control of fungal attack in gram crop use validamycin 3% L 25ml at 15 liter of water', 'Recommended for to control of fungal attack in gram crop use belidamycin 25ml at 15 liter of water', 'Powdery mildew can be spraying Wettable sulphur 3 g/lit or Carbendazim 1 g/lit. Totally 3 sprays are required at 15 days interval from the first appearance of symptom.']",JABALPUR,1,	Plant Protection	,attack bengal control crop farmer fungal gram how in information needs of regarding to,MADHYA PRADESH
