,answers,district,month,query-type,questions,state
349,"['Recommended for  Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.', 'Recommended for Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.', 'Recommended for Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. Collected the soil by hand, mix thoroughly and put on clean clothes pile, make a goal. Different finger to remove dirt from the pile of four equal parts. Now the remaining two parts of the soil again to mix well and set goals. This process is then repeated until almost half forts Top soil remains. The representative samples.']",SAGAR,9,Soil Testing,about collection farmer for information know of sample soil soil testing to wants,MADHYA PRADESH
350,['Recommended for spray of imidaclorprid 17.8% SL 5 to 7 ml at 15 liter of water control of white fly.'],JABALPUR,6,Cultural Practices,control crop farmer gram green in information measures need of pest regarding sucking,MADHYA PRADESH
351,['SPRAY OF CAEPHATE 2 GM/LITRE'],AJMER,8,	Plant Protection	,control curul in leaf me tell tomato,RAJASTHAN
352,"['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'FYM-20 KG']",ALWAR,6,Fertilizer Use and Availability,growth guavava in me tell,RAJASTHAN
353,['recommended to control measures of caterpillars/larva in bengalgram crop Triazofos 40 EC 30 ml per pump'],SAGAR,1,	Plant Protection	,bengalgram caterpillars control crop farmer in information larva measures needs of regarding,MADHYA PRADESH
354,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],BANSWARA,9,	Plant Protection	,control inmoong me sundi tell,RAJASTHAN
355,['spraying at flowering stage on MANGO -00 52 34 60 gm + microla 30 ml + BAVISTIN 30 GRAM / 15 lit water'],THANE,1,Nutrient Management,about asking for mango spraying,MAHARASHTRA
356,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],BANSWARA,1,Nutrient Management,in maize management me nutrient tell,RAJASTHAN
357,"['Hybrid Paddy varieties : Ajay, Rajalaxmi(130-135days)PRH-122 or Ganga(130days)PNPH- 24(125-130days) and CR-Dhan-701(140days, tall hybrid, Super fine)']",BALANGIR,6,Weather,hybrid paddy varieties,ODISHA
358,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,6,	Plant Protection	,bajra control in me of root rot tell,RAJASTHAN
359,['SPRAY OF RIDOMIL GOLD 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,control disease fungal me of tell,RAJASTHAN
360,['18001806224- ABOUT ANIMAL HUSBANDRY'],BANSWARA,4,Dairy Production,about animal husbandry me tell,RAJASTHAN
361,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],AJMER,9,	Plant Protection	,about controle cucumber in me tell yellowing,RAJASTHAN
362,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,5,Fertilizer Use and Availability,guaga in me root rot tell,RAJASTHAN
363,['Recommended for Spray of Chlorpyriphos 50% + Cypermethrin 5% EC 1000 Ml. / hac.'],SAGAR,1,	Plant Protection	,attack caterpillars control coriander crop farmer in information measures need of regarding,MADHYA PRADESH
364,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN PUMPKIN'],BALANGIR,5,	Plant Protection	,cater eating in leaf pillar pumpkin,ODISHA
365,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field and chloropyriphos 20 EC @ 20-25 ml per pump for control Shoot and fruit borer.', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field and emamectin benjoate 5% SG 8- 10 gram per pump.']",DAMOH,1,	Plant Protection	,caterpillars chickpea control crop farmer in information larva measures needs of regarding,MADHYA PRADESH
366,['VEARIETY OF LEMON Vikram and Rasraj'],AJMER,4,Seeds and Planting Material,lemon me of tell veariety,RAJASTHAN
367,"['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', 'SPRAY OF NPK 10 GM/LITRE']",ALWAR,6,	Water Management	,growth gwar in me tell,RAJASTHAN
368,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],AJMER,7,	Plant Protection	,bacterial blight control disease in me of rose tell,RAJASTHAN
369,['Sowing on time: -\r\nSowing during the first week of June from the last week of June to 4-5 inches of rain.'],SAGAR,6,Sowing Time and Weather,crop farmer know of of season seed sowing soybean to want,MADHYA PRADESH
370,['plantation distance in tulsi  - 40*40 cm'],RAIGARH,4,Cultural Practices,about asked cultivation of tulsi,MAHARASHTRA
371,"['Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.\r\nToll free number 18001030061']",JABALPUR,5,Government Schemes,agriculture farmer information insurance madhya needs pradesh regarding,MADHYA PRADESH
372,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,control crop farmer green how in information moong needs pest regarding sucking to,MADHYA PRADESH
373,"['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'FYM-20,SSP-300,MICRONUTRIENDT 100 GM/PLANT', 'FYM-30 KG,SSP-400 GM,MICRONUTRIENT 100 GM/[PLANT', 'SPRAY OF NPK 10 GM/LTRE']",BARMER,5,Fertilizer Use and Availability,growth in lemon me tell,RAJASTHAN
374,['Recommended for Spray of Trizophos 40 EC 1000 Ml. / hac.'],DAMOH,7,	Plant Protection	,caterpillars control crop farmer fruit in information jack measures need of regarding,MADHYA PRADESH
375,['RECOMMENDED TO SPRAY FAME 5ML/15 LIT WATER FOR CONTROL OF SHOOT AND FRUIT BORER IN BRINJAL'],CUTTACK,4,	Plant Protection	,and borer brinjal fruit in shoot,ODISHA
376,"['3610 RU /QU', '3100 RU /QU GVAR RATE']",BARMER,3,Weather,gvar jodpur mandi me of rate tell,RAJASTHAN
377,['recommended for to control stem borer in paddy apply phorate 10G @ 12.5kg/hac.'],DAMOH,7,Weather,about borer control farmer how in information know paddy stem to to want,MADHYA PRADESH
378,['Spray N: P: K 19:19:19 100 grams /15 liter of water.'],JABALPUR,4,Nutrient Management,about and bean better crop farmer fertilizer for give growth in information know nutrient to urd want which,MADHYA PRADESH
379,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,control cotton in jhulsa me of tell,RAJASTHAN
380,['SPRAY ACETAMIPRID 1GM/3LITRES OF WATER'],CUTTACK,1,	Plant Protection	,mites red,ODISHA
381,['recommended inter culture'],SAGAR,7,Weed Management,crop farmer ginger in know manage ment to want weed,MADHYA PRADESH
382,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,bt control cotton cut in inscet me of tell worm,RAJASTHAN
383,['50 %  SUBCIDIDE ON SPRINKALER'],AJMER,5,Government Schemes,me on sprinkaler subcidide tell,RAJASTHAN
384,['Apply 7.5-8 gram per pump chelated Zinc (Ethelin Diamine Tetra Acetic Acid 12.0 %) as a foliar spray or during sowing 10 kg per acre.'],SAGAR,1,	Plant Protection	,control crop disease farmer in information khira needs of regarding wheat,MADHYA PRADESH
385,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF BACTERIAL LEAF BLIGHT IN CAULIFLOWER'],BALANGIR,1,	Plant Protection	,bacterial blight cauliflower in leaf,ODISHA
386,['SPRAY OF CAEPHATE + MENCOZEB 2 GM/LITRE'],ALWAR,3,	Plant Protection	,bhindi blight clontrol in me tell,RAJASTHAN
387,['E-MITRA WEBSITE FOR AG. SUBSIDY = SSDG.RAJ.GOV.IN'],ALWAR,9,Government Schemes,ag e for me mitra subsidy tell website,RAJASTHAN
388,"['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 19:19:19 water \r\nsoluble fertilizer @ 100 gm/pump.']",MANDLA,2,Cultural Practices,about farmer growth how increase information know of to to wants wheat,MADHYA PRADESH
389,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,2,	Plant Protection	,control dieback in mango me tell,RAJASTHAN
390,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,7,Fertilizer Use and Availability,cotton management me nutrient tell,RAJASTHAN
391,"['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER FOR CONTROL OF WHITE RUST DISEASE IN MUSTARD', 'SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER']",ALWAR,2,	Plant Protection	,control disease in me tell,RAJASTHAN
392,['Ajmer Dr. R.N. Lamrod (Add. Charge)F.D.O. 9461478485\r\nJAIPUR CONT. 01415116242'],AJMER,5,Fish  Marketing,cont department fisheries government me of of rajasthan tell,RAJASTHAN
393,['AG. INSURANCE COMPANY OF INDIA 18001030061'],ALWAR,1,Government Schemes,about ag info insurance me tell,RAJASTHAN
394,"['ABOUT VERMICOMPOST-01468-275276', 'VERMICOMPOST-02982-260123']",ALWAR,5,Government Schemes,about me tell vermicompost,RAJASTHAN
395,['Error in data connection. Please try after some time.'],DAMOH,8,Market Information,crop damoh in mandi of price wheat,MADHYA PRADESH
396,"['RECOMMENDED TO SPRAY THIOMETHOXAM 5GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN BRINJAL', 'RECOMMENDED TO SPRAY THIOMETHOXAM 5 GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN  BRINJAL']",BALASORE,2,	Plant Protection	,brinjal flies in white,ODISHA
397,['RECOMMENDED TO SPRAY MIRACULAN @ 1 ML / 1 LIT OF WATER'],BALANGIR,3,Cultural Practices	,groundnut growth in plant regulator,ODISHA
398,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],BALANGIR,2,	Plant Protection	,gourd in leaves of pointed yellowing,ODISHA
399,['Pusa naveen'],SAGAR,3,Vegetative Propagation and Tissue Culture,about bottle crop farmer gourd how information know of to variety want,MADHYA PRADESH
400,['Spray prophenophos or dimethoate @ 2ml/litre.\r\n    Spray Fish oil rosin soap @ 25g/litre'],SAGAR,4,	Plant Protection	,about bug control crop farmer how in information know marigold mealy to to want,MADHYA PRADESH
401,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],AJMER,2,	Plant Protection	,blight chilli control in me tell,RAJASTHAN
402,['SPRAY IMIDACLOPRID @ 1 ML / 3 LIT OF WATER'],BALANGIR,3,	Plant Protection	,in leaves of pumpkin yellowing,ODISHA
403,"['""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532']",ALWAR,4,Government Schemes,me mushroom of tell traning,RAJASTHAN
404,['IN NOKHHA MANDI RATE OF CUMIN  16600 RUPEES PR Q'],BARMER,5,Market Information,mandi me nrate ocumin tell,RAJASTHAN
405,['SPRAY METHYLE DEMETON 25 EC 2ML PER LITRE'],ALWAR,3,	Plant Protection	,beetle control in jackfruit me tell,RAJASTHAN
406,"['DRENCHING OF CARBENDAZIM 2 GM PER LITER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER']",ALWAR,3,	Plant Protection	,citrus in me plant protection tell,RAJASTHAN
407,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,1,	Plant Protection	,about chilli control in me pest sucking tel,RAJASTHAN
408,"['FERTILIZER IN LEMON OF 3 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT', 'FERTILIZER IN LEMON OF 3 YRS. FYM= 10 KG, UREA= 50 GM, DAP= 50 GM, MOP= 50 GM PER PLANT']",ALWAR,2,Nutrient Management,3 fertilizer in lemon me of tell yrs,RAJASTHAN
409,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,6,	Plant Protection	,chillies control curl in meleaf tell,RAJASTHAN
410,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],AJMER,1,	Plant Protection	,about cumin frost in me saving tell,RAJASTHAN
411,"['Recommended for to know information goat farming more detail to contact this no.-94252-05158,07763-223495 raigarh']",DAMOH,2,	Maket Information	,about farmer farming goat information know to wants,MADHYA PRADESH
412,['Recommended for Spray liquid sulpher 40 ml per pump and maintain fume in evening time all around the field.'],DAMOH,1,Cultural Practices	,crop farmer from frost how know my protect to to want,MADHYA PRADESH
413,['CONTACT NEAR BANK'],ALWAR,1,Animal Nutrition,about animal lown me tell,RAJASTHAN
414,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,3,	Plant Protection	,control curl in leaf me of tell tomato,RAJASTHAN
415,"['JODHPUR (GRAIN)  JEERA (CUMIN) 16950', 'ALWAR  WHEAT 1482 1630', 'JODHPUR (GRAIN)  JEERA (CUMIN) 15985', 'JODHPUR (GRAIN)  ISABGOLE 9955', 'JODHPUR (GRAIN)  JEERA (CUMIN) 15755', 'JODHPUR (GRAIN)  JEERA (CUMIN) 16250', 'JODHPUR (GRAIN)  ISABGOLE 10240', 'ODHPUR (GRAIN)\tGOWAR\t3502 RS/Q', 'ALWAR  GRAM 5125', 'JODHPUR (GRAIN)\tJEERA (CUMIN)\t16750 RS/Q', 'BIKANER (GRAIN)  GRAM 5679', 'NAGAUR  JEERA (CUMIN) 18200', 'JODHPUR (GRAIN)  ISABGOLE 10400', 'BARMER  MOTH 3400']",BARMER,4,Market Information,mandi me rate tell,RAJASTHAN
416,['RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN BITTER GOURD'],BALASORE,7,	Plant Protection	,bitter borer fruit gourd in,ODISHA
417,['USE-MANUARE AND FERTILIZER.'],ALWAR,4,Fertilizer Use and Availability,affacted bail growth me tell,RAJASTHAN
418,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,1,Nutrient Management,in management me micro nutrient pea tell,RAJASTHAN
419,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],AJMER,5,	Plant Protection	,about bean cluster control in insect me tell,RAJASTHAN
420,['SPRAY OF BELETON 1 ML PER LITER WATER'],AJMER,8,	Plant Protection	,control coriender fungs in me of tell,RAJASTHAN
421,"['PLANOFIX 1 ML /4 LITER WATER SPREY', 'SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER']",ALWAR,1,	Plant Protection	,down fall flower in me papaya tell,RAJASTHAN
422,"[""Dear in your's sagar mandi the rate of wheat crop is 1750 Rs. minimum/quintal 2125 Rs. maximum/quintal 1950 Rs. average/quintal.""]",SAGAR,1,Market Information,about at farmer know madhya mandi of of pradesh rate sagar to wants wheat,MADHYA PRADESH
423,"['Recommended for Spray of Monocrotophos 36 s. L. 800 ml. / hac.', 'Recommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.', 'Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray. |']",SAGAR,7,	Plant Protection	,caterpillars control crop how in soyabean to,MADHYA PRADESH
424,"['Recommended for to control of fungal attack in paddy crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water.', 'Recommended for to control of fungal attack in paddy crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in paddy crop use tricyclazol 20gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water']",JABALPUR,9,	Plant Protection	,about attack control crop farmer fungal how in information know of paddy to to wants,MADHYA PRADESH
425,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,5,Agriculture Mechanization,attack control farmer fungal in information measures need of regarding,MADHYA PRADESH
426,"['VARIETY OF TIL---VNYAK,PRACHI,UMA,NIRMAL.']",DHENKANAL,3,Cultural Practices	,of til variety,ODISHA
427,['RECOMMENDED TO SPRAY TATAMIDA 1ML/3 LIT WATER FOR CONTROL OF SUCKING PEST OF CHILLIES'],BALANGIR,7,	Plant Protection	,chillies of pest sucking,ODISHA
428,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field']",SAGAR,6,Nutrient Management,borer control crop farmer in information measures needs of regarding root soybean,MADHYA PRADESH
429,"['VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",BANSWARA,6,Varieties,about bt cotton me of tell variety,RAJASTHAN
430,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",BARMER,2,Fertilizer Use and Availability,fertilizer in lemon me telll,RAJASTHAN
431,['market information of bangal gram for Damoh 950 Tones  minimum-5000 maximum-5100 average-5050 Rs/Quintal'],DAMOH,4,Market Information,about chana farmer information information know market of to wants,MADHYA PRADESH
432,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,6,	Plant Protection	,control disease in mango me tell,RAJASTHAN
433,['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water'],MANDLA,2,	Plant Protection	,attack control cowpea crop farmer fungal in information measures need of regarding,MADHYA PRADESH
434,"['VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A']",BARMER,5,Varieties,groundnut me of tell vareiety,RAJASTHAN
435,"['recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.']",JABALPUR,8,Weather,about attack control crop farmer fungal how in information know of paddy to to want,MADHYA PRADESH
436,['?????????????? 20% ?.??. 2 ??.??. ????? ???? ???? ??? ??? ?? ?? ??????? ??? ??????'],ALWAR,5,	Plant Protection	,control in me rose tell termaite,RAJASTHAN
437,['SPRAY TARGA SUPER @ 2 ML / 1 LIT OF WATER'],CUTTACK,2,Cultural Practices,in management onion weed,ODISHA
438,"['rejent=15ml+microla=30ml+redomil gold=30gm,,15 LITER WATER']",RAIGARH,2,	Plant Protection	,attack chilli thrips,MAHARASHTRA
439,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],AJMER,7,	Plant Protection	,control lahsoda me of pest tell,RAJASTHAN
440,['USE-MANUARE AND FERTILIZER.'],BARMER,3,Fertilizer Use and Availability,affacted growth me plant pomegranate tell,RAJASTHAN
441,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],ALWAR,3,	Plant Protection	,about control guava in me tell termite,RAJASTHAN
442,['recommended Arize 6444 paddy variety'],SAGAR,6,Varieties,about farmer high information name paddy to variety want yielding,MADHYA PRADESH
443,['Recommended for spray of Flonicamid 50 % WG (ULALA) 60 gram per acer for control of white fly attack in chilli crop.'],SAGAR,3,	Plant Protection	,attack chilli control crop farmer fly in information measures need of regarding white,MADHYA PRADESH
