,answers,changed-questions,district,month,query-type,state
2279,['APPLY MOP @ 12KG/ACRE AS FINAL FERTILIZER DOSE OF PADDY'],dose fertilizer final paddy,BALASORE,3,Fertilizer Use and Availability,ODISHA
2280,['USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION'],control pea root rot tell,ALWAR,1,	Plant Protection	,RAJASTHAN
2281,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],aphid control okara tell,AJMER,2,	Plant Protection	,RAJASTHAN
2282,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 30GM + STREPTOCYCLIN 1.5 GM/ LIT WATER FOR CONTROL OF WILTING DISEASES IN GROUNDNUT'],diseases groundnut wilting,BALASORE,4,	Plant Protection	,ODISHA
2283,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],droping flower lemon plant tell,ALWAR,3,Cultural Practices,RAJASTHAN
2284,"['recommended for  Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.']",2 almost aside bottom bottom bucket clay clean clean clean clothes cm collected collection dib different soil equal farmer finger forts four goal goals half hand hole information know weeed mix mix parts parts pile pile process put put recommended remaining remains remove repeated representative sample samples set soil soil soil soil soil take testing thick thoroughly top top tray two want well,SAGAR,4,Soil Testing,MADHYA PRADESH
2285,['Recommended for  coperoxychloride 45 gram mix with straptocycline 2 gram / pump.'],attack control coriander crop farmer fungal know wants,DAMOH,4,	Plant Protection	,MADHYA PRADESH
2286,"['Recommended for when your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per Acer for broad leaf weeds.', 'Recommended for when your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar', 'Cageflip ethyl 400 m per plant to destroy the weeds in 15 to 20 days of crop', 'Herbicide chemical name\r\n\r\n\r\nQuantity\r\n(G. The active substance / ha.)\r\n\r\n\r\nUsage time\r\n\r\n\r\nWeed control\r\nPendimithilin\r\n(Stamp Extra) 700 g. 0-3 days after sowing and some Cadi Gaskul leaf weed', 'Cageflop ethyl (Turgasoper) 300-400 min per acre to destroy the weeds in 15 to 20 days of harvest.']",black control crop gram weeds,SAGAR,7,Weed Management,MADHYA PRADESH
2287,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],control pest soybean tell,BANSWARA,8,	Plant Protection	,RAJASTHAN
2288,['NO RAINFALL NEXT FIVE DAYS'],barmer information tell weatehr,BARMER,8,Weather,RAJASTHAN
2289,['SPRAY POLY FEED 19-19-19 (N-P-K) @ 100GM/15LIT WATER FOLIAR FERTILIZER APPLICATION OF POINTED GOURD'],application fertilizer foliar gourd pointed,CUTTACK,3,Fertilizer Use and Availability,ODISHA
2290,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],chiku flower tell,BARMER,4,	Plant Protection	,RAJASTHAN
2291,['PEST CONTROL IN LEMON CYPERMETHRIN 1.5 ML PER LITER WATER'],control insect onino tell,ALWAR,9,	Plant Protection	,RAJASTHAN
2292,['APPLY DAP @ 650GM + MOP @ 300GM + UREA @ 200GM/PLANT FOR FERTILIZER IN ARECANUT'],arecanut fertilizer,CUTTACK,3,Fertilizer Use and Availability,ODISHA
2293,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],borar gram pod tell,AJMER,1,	Plant Protection	,RAJASTHAN
2294,"['T-9, Pant U-30, Khargone-3, PDU-1 (Basant Bahar), Jawahar Udad-2, TPU-4 is the price of urad.']",black crop farmer gram information know variety wants,MANDLA,3,Varieties,MADHYA PRADESH
2295,['SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER'],control fungs tell tuberose,BARMER,5,	Plant Protection	,RAJASTHAN
2296,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],effected frost tell,ALWAR,1,	Plant Protection	,RAJASTHAN
2297,['Lentil(Masur)\t1\tTonnes\t\tOther\tFAQ\t3300\t3400\t3350\tRs/Quintal\r\nBengal Gram(Gram)\t395\tTonnes\tNR\tKanta\tFAQ\t4093\t5485\t5280\tRs/Quintal'],farmer information know mandi mandi rate sagar want,SAGAR,5,Market Information,MADHYA PRADESH
2298,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],management nutrient tell wheat,ALWAR,1,Fertilizer Use and Availability,RAJASTHAN
2299,"['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF COPER OXICHLORIDE 3 GM PER LITER WATER']",black control kathal spot tell,ALWAR,4,	Plant Protection	,RAJASTHAN
2300,"['MINIMUM 2550Rs./Quintal, MAXIMUM 2750Rs./Quintal, modal 2700Rs./Quintal']",farmer information know mandi rate soybean want,SAGAR,5,Market Information,MADHYA PRADESH
2301,['recommended for  seed treatment of  bengal gram treat the seed with thiram or captan or mancozab or monosan @2-2.5gram/kg of  seed.'],bengal crop farmer gram information know seed treatment wants,SAGAR,9,	Plant Protection	,MADHYA PRADESH
2302,['RECOMMENDED TO SPRAY IMIDACLOPRID 1ML/3LIT WATER'],citrus curling leaf,BALASORE,5,	Plant Protection	,ODISHA
2303,['Recommended for to know information about animal husbandry please contact to your veterinary department or contact 18001801199 or 18001805141'],animal farmer farming information know scheme wants,JABALPUR,9,Government Schemes,MADHYA PRADESH
2304,['market information of Bengal gram for sagar  minimum- 5100 maximum-5675   average-5500  Rs/Quintal'],bengal farmer gram information information know market want,SAGAR,4,Market Information,MADHYA PRADESH
2305,['Recommended for Thiophanate methyl 70 % WP 30 gram and steptrocyclin 2 gram at 15 liter of water.'],attack bengal control crop fungal gram,SAGAR,3,	Plant Protection	,MADHYA PRADESH
2306,['NO RAIN FALL NEXT FIVE DAYS.'],fall inforation rainfall tell,BARMER,4,Weather,RAJASTHAN
2307,['RECOMMENDED TO SPRAY CHLOROPYRIPHUS DUST 10 KG /ACRE FOR CONTROL OF TERMITE IN COCONUT'],coconut termite,CUTTACK,3,	Plant Protection	,ODISHA
2308,['recommended for spray to daimethoate 30 mili/pump.'],control crop cucucmber farmer know pest sucking want,SAGAR,5,	Plant Protection	,MADHYA PRADESH
2309,"['Beetles, fruit flies and caterpillars\r\nBeetles, fruit flies and caterpillars can be controlled by spraying Malathion 50 EC 1ml/lit or Dimethoate 30 EC 1ml/lit or Methyl demeton 25 EC 1ml/lit.\r\nDo not use DDT, copper and sulphur dust, as these are phytotoxic.']",bittle control crop farmer fly fruit gourd information know want,JABALPUR,9,	Plant Protection	,MADHYA PRADESH
2310,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],control lemon tell tremid,BARMER,6,	Plant Protection	,RAJASTHAN
2311,"['varieties of sesame-TKG-55, JTS-8,JAWAHER TILL 306, JT-12']",farmer information know sesame varieties wants,JABALPUR,2,Varieties,MADHYA PRADESH
2312,['15-20 KILO /PAR HEC'],gvar rate seed tell,AJMER,6,	Plant Protection	,RAJASTHAN
2313,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control gram sundi tell,ALWAR,2,	Plant Protection	,RAJASTHAN
2314,['Recommended for to know information about Agricultural Engineering contact CIAE.BHOPAL  0755-2583632 & 4083601 & 9826146528.'],agricultural engineering farmer information know want,SAGAR,2,Government Schemes,MADHYA PRADESH
2315,['SPRAY POLYFEED (N-P-K) 19-19-19 @ 100GM/15LIT WATER FOR GROWTH OF POINTED GROURD'],grourd growth pointed,CUTTACK,3,Fertilizer Use and Availability,ODISHA
2316,"['Horticulture Mission to receive benefits, you must register online -iske -01 to land records (books, five-year measles, B-1 copy), 02 bank passbooks, 03 mobile numbers, with four photographs of registration purpose then, document scanning and uploading and acknowledge RS ten will have to pay with your receiving  , 05 - reported to grant in your mobile 06- any complaint, please contact the toll free number -155343 and Bhopal 0755 -401 9400, 4019406.']",farmer govt horticultural information know schemes want,SAGAR,1,Government Schemes,MADHYA PRADESH
2317,['Spray N: P: K 00:52:34 100 grams /15 liter of water.'],better crop farmer fertilizer give growth information know nutrient onion want,SAGAR,4,Nutrient Management,MADHYA PRADESH
2318,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],borer control gram tell,BARMER,2,	Plant Protection	,RAJASTHAN
2319,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control insect kinnow tell,ALWAR,9,	Plant Protection	,RAJASTHAN
2320,['Your registration has been successfully registered at kishan call center.'],facility farmer mobile phone start wants,SAGAR,3,Weather,MADHYA PRADESH
2321,['Recommended for spray of amino acid + folic acid (Fentec plas) 8 to 10 ml per pump for enhance flowering soybean crop.'],crop enhance farmer flowering gram green information need,SAGAR,5,Nutrient Management,MADHYA PRADESH
2322,['?\timedachlorprid 5-7 ml at 15 liter of water.'],control crop farmer information know masur pest sucking want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
2323,['SPRAY COPPER OXYCHLORIDE @ 3GM/1LIT WATER FOR DIE BACK IN CRAPE JASMINE'],back crape die jasmine,CUTTACK,3,	Plant Protection	,ODISHA
2324,"['DRENCHING OF BLUE COPPER 40 GM   /15 LITER of WATER .', 'spray denocap- 1 mili / 1 liter of water.']",asked attack wilt,THANE,1,	Plant Protection	,MAHARASHTRA
2325,"['SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER', 'SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER']",caterpiller control tell,BARMER,8,	Plant Protection	,RAJASTHAN
2326,"['Recommended for Spray glucose 100 to 150 gram per pump to reduce effect of herbicide.', 'Recommended for Spray glucose 100 to 150 gram per pump.']",crop effected herbicide reduce soyabean,SAGAR,8,Cultural Practices,MADHYA PRADESH
2327,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],barley control insect tell,AJMER,1,	Plant Protection	,RAJASTHAN
2328,['SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER'],control ell insect,AJMER,5,	Plant Protection	,RAJASTHAN
2329,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],bh control diease ndi rat root tell,ALWAR,2,	Plant Protection	,RAJASTHAN
2330,"['RECOMMENDED TO SPRAY BUPROFEZIN 2 ML/LIT WATER FOR CONTROL OF BROWN PLANT HOPPER IN PADDY', 'RECOMMENDED TO SPRAY BUPROFEZIN 2ML/ LIT WATER FOR CONTROL OF BROWN PLANT HOPPER IN PADDY', 'SPRAY Thiamethoxam 25% WG (Evident) @ 10GM/15LIT WATER FOR BROWN PLANT HOPPER IN PADDY', 'SPRAY Thiamethoxam 25% WG (EKTARA) @ 10GM/15LIT WATER FOR BROWN PLANT HOPPER IN PADDY', 'Recommended to spray Buprofezin 25% SC 24ml in 15litres of water to control Brown plant hopper in Paddy', 'Recommended to spray Buprofezin 25% SC 2ml per litre of water to control Brown plant hopper in Paddy', 'RECOMMENDED TO SPRAY DINOTEFURAN (TOKEN) @ 100 GRAM / 200 LIT OF WATER / ACRE', 'RECOMMENDED TO SPRAY BUFROFEZIN 2ML/ LIT WATER FOR CONTROL OF BROWN PLANT HOPPER IN PADDY', 'Recommended to spray Buprofezin 25% SC 24ml in 15litres of water to control Brown Plant Hopper in Paddy', 'RECOMMENDED TO SPRAY BUPROFEZINE 2 ML/ LIT WATER FOR CONTROL OF BROWN PLANT HOPPER IN PADDY']",brown hopper paddy plant,DHENKANAL,9,	Plant Protection	,ODISHA
2331,"['GRAM VARIETY - RSG 945,973, 974 , GNG 1581, C 235', 'VARIETY OF GRAM - RSG 945,973, 974 , GNG 1581, C 235']",gram tell vareity,ALWAR,9,Varieties,RAJASTHAN
2332,"['VARIETY OF GUAR = RGC-1066, RGC-936, RGC-1017, RGC 1055, RGC 1038, HG-365, HG 2-20']",gour tell variety,BARMER,7,Varieties,RAJASTHAN
2333,"['Your mandi rate facility registration has been successfully registered at kisan call center.', 'your mobile number mandi rate registration completed', 'Your mandi rate facility registration has been successfully registered at kisan call center. \r\n\r\nHow', 'Your mandi rate facility registration has been successfully registered at kisan call center. \r\n\r\nfarmer want to know information about mandi registration? \r\nYour mandi rate facility registration has been successfully registered at kisan call center.']",farmer information know mandi registration want,JABALPUR,4,Market Information,MADHYA PRADESH
2334,['Spray recommended dose of fantak plus @ 50 ml /100 liter.\r\nUse recommended dose of Amino acid 10 ml at 15 liter of water for increase flowering in moong crop.'],crop farmer flower gram green increase information needs regarding,SAGAR,4,Nutrient Management,MADHYA PRADESH
2335,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.\r\nBiofertilizer-Use recommended dose of rhizobium culture 5 gram per kg of seed and PSB culture 5 gram per kg of seed befor 1 hour of sowing.'],farmer information needs pea regarding seed seed treatment,JABALPUR,8,	Plant Protection	,MADHYA PRADESH
2336,['CONTECT NUMBER OF SOIL TESTING DEPPARTMENT-1800 180 1014'],contect deppartment number soil tell testing,BARMER,6,Soil Testing,RAJASTHAN
2337,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],cauliflower control insect tell,ALWAR,3,	Plant Protection	,RAJASTHAN
2338,['Punjab Innovative: - This seed is very good. These less bitter and seeds are also worth eating. I can break this kind of harvest in seventeen days. Its average yield is seventy quentile / acre.'],crop cucumber farmer information variety want,SAGAR,4,Cultural Practices,MADHYA PRADESH
2339,['DETAIL DATA EXPLAINED IN DAIRY FARMING SCHEME'],dairy farming scheme,BALASORE,9,Market Information,ODISHA
2340,"['Reccomonded: indoxa carb 10 ml at 15\r\nliter of water.', 'Recommended  for Spray emamectin benjoate 10 ml. at 15\r\nliter of water.']",caterpillars cauliflower control crop farmer information measures need regarding,MANDLA,2,	Plant Protection	,MADHYA PRADESH
2341,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],control droping flower lahsoda tell,ALWAR,4,Nutrient Management,RAJASTHAN
2342,"['VARIETY OF BT COTTON = MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028']",copton tell variety,ALWAR,5,Varieties,RAJASTHAN
2343,['1378 RU /QU BAJARA RATE'],bajara kharli mandi rate tell,ALWAR,2,Market Information,RAJASTHAN
2344,['Recommended for to control of fungal attack in gram crop use hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water'],control crop fangul farmer information know wants,SAGAR,8,Weather,MADHYA PRADESH
2345,"[""Dear in your's Katni mandi the rate of Bengal gram crop is 4900 Rs. minimum/quintal 5650 Rs. maximum/quintal 5340 Rs. average/quintal."", ""Dear in your's katni mandi the rate of bengal gram crop is 5000 Rs. minimum/quintal 5650 Rs. maximum/quintal 5400 Rs. average/quintal."", ""Dear in your's Katni mandi the rate of Bengal gram crop is 4850 Rs. minimum/quintal 5550 Rs. maximum/quintal 5300 Rs. average/quintal.""]",bengal farmer gram katni know madhya mandi pradesh rate wants,DAMOH,5,Market Information,MADHYA PRADESH
2346,['SPRAY OF THIOUTRA .5 GM/LITRE'],growth pea tell,AJMER,1,Fertilizer Use and Availability,RAJASTHAN
2347,"['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION', 'SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER']",control insect lucerne tell,AJMER,5,	Plant Protection	,RAJASTHAN
2348,"['High yielding cultivars: \r\nKagzi lime, Vikram (Ms), Pramalini (Ms), Chakradari, PKM1, Selection 49, Seedless lime, Tahiti']",citrus tell variety,ALWAR,6,Seeds and Planting Material,RAJASTHAN
2349,"['UREA 130KG,SSP 220KG PER HECTARE']",fertilizer management tell,ALWAR,9,Varieties,RAJASTHAN
2350,['Recommended for Spray Use Nomini gold(Bispayriback sodium) 80 gram per acar. |'],control crop farmer information know paddy want weeds,JABALPUR,7,Weather,MADHYA PRADESH
2351,['NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY'],information tell whether,AJMER,5,Weather,RAJASTHAN
2352,['CONTACT WITH BLOCK VETERINARY OFFICER'],query veterinary,CUTTACK,1,Disease Management,ODISHA
2353,['CONTACT WITH ASST AGRICULTURE OFFICER'],soil test,BALASORE,8,	Plant Protection	,ODISHA
2354,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],0 control cotton pest sucking tell,ALWAR,7,	Plant Protection	,RAJASTHAN
2355,"['Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.', 'Recommended for spray of imidaclorprid 17.8% SL 5 to 6 ml at 15 liter of water control of white fly in soybean crop.']",control crop farmer fly information measures need onion regarding white,SAGAR,3,	Plant Protection	,MADHYA PRADESH
2356,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],micronutrient tell,ALWAR,6,Fertilizer Use and Availability,RAJASTHAN
2357,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],attack control crop farmer fungal information know pumpkin wants,SAGAR,4,	Plant Protection	,MADHYA PRADESH
2358,['SOWING TIME OF KASURI METHI MID OCTOBER'],kasuri methi sowing tell time,AJMER,8,Varieties,RAJASTHAN
2359,['DETAIL DATA EXPLAINED IN SUBSIDY OF COW LOAN'],cow loan subsidy,CUTTACK,9,Market Information,ODISHA
2360,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF CUT WORM IN MAIZE.'],cut maize worm,BALASORE,2,	Plant Protection	,ODISHA
2361,"['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE', 'SPRAY =OF MICRONUTRIENT 4 GM/LITRE']",growth spota tell,ALWAR,6,	Plant Protection	,RAJASTHAN
2362,['Recommended  for to know information about subcide   of buffalo  contact to your animal hospital/veterinary doctor or contact 18001801199'],buffalo cow farmer information know subcide wants,JABALPUR,9,Government Schemes,MADHYA PRADESH
2363,['Recommended for to control of fungal attack in use captan + hexaconazole (TAQAT) 40 gm. and streptocyclin 2 gram at 15 liter of water .'],attack control crop farmer fungal information know mango want,SAGAR,4,	Plant Protection	,MADHYA PRADESH
2364,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF PINK BOLL WORM'],boll pink worm,BALANGIR,9,	Plant Protection	,ODISHA
2365,"['Minimum 5000 Rs/Quintal, Maximum 5300 Rs/Quintal, Modal price 5200 Rs/Quintal\r\n09/05/2017\t20.2\tDesi (Whole)\t5000\t5300\t5200']",farmer gram information jabalpur mandi market needs rate regarding,DAMOH,5,Market Information,MADHYA PRADESH
2366,"['MANDI RATE OF ISABGOL-16750RS/QT', 'RATE OF ISABGOL-10500']",isabgol mandi rate tell,BARMER,3,Market Information,RAJASTHAN
2367,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],aphid bhindi control tell,AJMER,3,	Plant Protection	,RAJASTHAN
2368,['USE CARBENDAZIM 2 GM PER KG SEED'],chilli seed tell treatment,ALWAR,4,	Plant Protection	,RAJASTHAN
2369,"['7mm-9th Aug, 2mm-10th Aug, 1mm-11th Aug, 21`mm-12th Aug']",balasore oupada rainfall,BALASORE,8,Weather,ODISHA
2370,"['SPRAY OF ACEPHATE 75% SP 2 GM+MENCOZEB 2 GM PER LITER WATER', 'SPRAY OF MENCOZEB 2 GM + ACEPHATE 75% SP 2 GM PER LITER WATER']",control cotton tell yellowing,ALWAR,8,Weather,RAJASTHAN
2371,"['variety of turmaric  = VAYGAON , SELAM , KRUSHNA,']",turmaric variety,RAIGARH,2,Vegetative Propagation and Tissue Culture,MAHARASHTRA
2372,"['VARIETY OF AMERICAN COTTON  -RS 2013,RST 9,RS 810,BIKANERI NARMA,MARU VIKASH(RAJ H H 16)(HAYBRID COTTON )']",cotten tell variety,ALWAR,5,Varieties,RAJASTHAN
2373,['19 19 00 60 GM+ MICROLA 30 ML /15 LITER WATER'],asking bitter gourd sparying,RAIGARH,7,Fertilizer Use and Availability,MAHARASHTRA
2374,"['SPRAY METALAXYL + MANCOZEB (TATAMASTER) @ 40GM/15LIT WATER FOR LEAF RUST IN OKRA', 'SPRAY COPPER OXY CHLORIDE @ 3GM/1LIT WATER FOR LEAF RUST IN OKRA', 'SPRAY COPPER OXYCHLORIDE (BLUE COPPER) @ 3GM/1LIT WATER FOR LEAF RUST IN OKRA']",leaf okra rust,BALANGIR,3,	Plant Protection	,ODISHA
2375,['JODHPUR (GRAIN)\tGOWAR\t2950\t RU / Q'],gowar grain informetion jodhpur market tell,BARMER,1,Market Information,RAJASTHAN
2376,['Recommended for Spray abamectin 5 ml at per pump or Propargite 57% EC (omite) 30 ml at per pump.'],attack brinjal control crop farmer information measures mites need regarding,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
2377,['KAKRI MANDI ME URD KE BHAV =4971 RS./QUT.'],black gram information market tell,AJMER,9,Market Information,RAJASTHAN
2378,['SPRAY OF FIPRONIL 5 % SC 2 LITER PER HA'],control grab rizka tell white,BARMER,5,	Plant Protection	,RAJASTHAN
2379,['Recommended for Spray of Troijofos 40 EC 30 Ml. / hac.'],caterpillars chick control crop farmer information measures need pea regarding,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
